AFR	105	Intro to Black Experience 							
AFR	115	Intro to Afr Amer Philosophy 							
PHIL	115	Intro to Afr Amer Philosophy							
AFR	201	African-Amer Lit Tradition 							
ENG	260	African-Amer Lit Tradition							
AFR	206	African Amer Hist 1500-present 							
AFR	209	Af Am History: Slavery to Civil War 							
AFR	210	Af Am History: Reconstruction to Present 							
AFR	211	Intro African Literature 							
AFR	212	Black Women Writers 							
ENG	279	Black Women Writers							
AFR	215	Unpacking Blackness 							
AFR	225	Intro Black Psychology 							
PSYC	225	Intro Black Psychology							
AFR	227	Black Girlhood 							
EDUC	227	Black Girlhood							
AFR	228	Black Feminist Philosophy 							
PHIL	228	Black Feminist Philosophy							
AFR	236	Intro to African Politics 							
POL2	231	Intro to African Politics							
AFR	239	Sem: African Civilizations 							
AFR	242	New World Afro-Atlantic Religions 							
REL	214	New World Afro-Atlantic Religions							
AFR	243	The Black Church 							
PEAC	243	The Black Church							
AFR	245	The Impact of Globalization 							
POL3	245	The Impact of Globalization							
AFR	249	Black Women's History 							
AFR	250	Research or Individual Study 							
AFR	256	The Portuguese-Speaking World 							
PORT	256	The Portuguese-Speaking World							
AFR	264	African Art 							
ARTH	264	African Art							
AFR	265	African American Autobiographies 							
ENG	265	African American Autobiographies							
AFR	271	History of Slavery Thru Film 							
CAMS	271	History of Slavery Thru Film							
AFR	292	African Art & the Diaspora 							
ARTH	292	African Art & the Diaspora							
AFR	295	The Harlem Renaissance 							
ENG	295	The Harlem Renaissance							
AFR	299	Sem: Caribbean Culture 							
AFR	302	Caribbean Intellectual Thought 							
AFR	303	Seminar: Slavery and Film 							
AFR	304	Sem: Politics of Chocolates 							
POL3	302	Sem: Politics of Chocolates							
AFR	306	Urban Development & Underclass 							
AFR	310	Sem: Reading DuBois 							
SOC	310	Sem: Reading DuBois							
AFR	312	Sem: Natural Resources in Africa 							
AFR	316	Sem: Race & Gender Contemporary Art 							
ARTH	316	Sem: Race & Gender Contemporary Art							
AFR	319	Black Aesthetics 							
PHIL	319	Black Aesthetics							
AFR	330	CSPW: Black Diaspora & Pandemic 							
AFR	341	Africans of the Diaspora 							
AFR	345	Enslaved Women in the Atlantic World 							
AFR	350	Research or Individual Study 							
AFR	350H	Research or Individual Study 							
AFR	360	Senior Thesis Research 							
AFR	370	Senior Thesis 							
AFR	380	Violence in the Black Atlantic 							
AFR	390	Sem: Racism in the North 							
SWA	101	Elementary Swahili 							
SWA	102	Elementary Swahili 							
SWA	120	Swahili Language and Culture 							
SWA	201	Intermediate Swahili I 							
SWA	202	Intermediate Swahili II 							
SWA	203	Intensive Intermediate Swahili 							
SWA	220	Swahili Language and Culture 							
AMST	101	Intro to American Studies 							
AMST	116	Asian American Fiction 							
ENG	116	Asian American Fiction							
AMST	121	Intro to Ethnic Studies 							
AMST	151	The Asian American Experience 							
AMST	161	Intro to Latina/o Studies 							
AMST	212	Korean-American Lit & Culture 							
AMST	217	Latina/o Music and Identity 							
AMST	218	Religion in America 							
REL	218	Religion in America							
AMST	220	Liberty and Morality 							
SOC	220	Liberty and Morality							
AMST	222	Asian American Psychology 							
PSYC	222	Asian American Psychology							
AMST	225	Urban Studies and Policy 							
SOC	225	Urban Studies and Policy							
AMST	228	Religious Themes Amer Fiction 							
REL	220	Religious Themes Amer Fiction							
AMST	231	Americans in Paris (in Eng) 							
FREN	231	Americans in Paris (in Eng)							
AMST	232	Asian American Pop Culture 							
AMST	234	Rad Individual and Common Good 							
REL	231	Rad Individual and Common Good							
AMST	235	Consuming Latina/o Cultures 							
AMST	240	Rise of an American Empire 							
ENG	269	Rise of an American Empire							
AMST	241	A Nation in Therapy 							
SOC	241	A Nation in Therapy							
AMST	242	American Reckonings 							
AMST	246	How Immigration is Changing the US and the World 							
SOC	246	How Immigration is Changing the US and the World							
AMST	248	Poetics of the Body 							
ENG	248	Poetics of the Body							
AMST	251	Racial Regimes in US & Beyond 							
SOC	251	Racial Regimes in US & Beyond							
AMST	258	Gotham: New York in Lit & Art 							
ENG	258	Gotham: New York in Lit & Art							
AMST	261	Hollywood: Vietnam to Reagan 							
ENG	261	Hollywood: Vietnam to Reagan							
AMST	262	American Literature to 1865 							
ENG	262	American Literature to 1865							
AMST	264	Asian Am. Labor & Immigration 							
AMST	266	Am Lit from Civil War to 1930s 							
ENG	266	Am Lit from Civil War to 1930s							
AMST	268	American Literature Now 							
ENG	268	American Literature Now							
AMST	274	Gender & Race in Westerns 							
WGST	274	Gender & Race in Westerns							
AMST	281	Rainbow Republic: Am Culture 							
ENG	297	Rainbow Republic: Am Culture							
AMST	290	Afro-Latinas/os in the U.S. 							
PEAC	290	Afro-Latinas/os in the U.S.							
AMST	292	Film Noir 							
ENG	292	Film Noir							
AMST	296	Immigration & Diaspora 							
ENG	296	Immigration & Diaspora							
AMST	299	Horror Films in America 							
ENG	299	Horror Films in America							
AMST	310	Asian Am Politics of Beauty 							
AMST	314	Sem: Food & Asian Am Experience 							
AMST	318	"Sem:The ""Enemy Race"" in WWII "							
REL	318	"Sem:The ""Enemy Race"" in WWII"							
AMST	319	Sem: Religion, Law & Politics 							
REL	319	Sem: Religion, Law & Politics							
AMST	323	Sem: Race, Gender in Reggaeton 							
AMST	325	Puerto Ricans Home & Beyond 							
AMST	327	Black and Latina Feminisms 							
AMST	348	Conservatism in America 							
SOC	348	Conservatism in America							
AMST	350	Research or Individual Study 							
AMST	355	CSPW: Critiquing Pop. Culture 							
AMST	360	Senior Thesis Research 							
AMST	370	Senior Thesis 							
