	course	freq
0	AFR 105	5
1	AFR 201	3
2	AFR 202	1
3	AFR 204	4
4	AFR 206	7
5	AFR 207	4
6	AFR 208	1
7	AFR 209	4
8	AFR 210	4
9	AFR 211	3
10	AFR 212	5
11	AFR 213	3
12	AFR 215	5
13	AFR 216	1
14	AFR 217	1
15	AFR 222	5
16	AFR 225	3
17	AFR 226	2
18	AFR 227	4
19	AFR 228	3
20	AFR 234	1
21	AFR 235	1
22	AFR 236	4
23	AFR 237	1
24	AFR 238	1
25	AFR 239	5
26	AFR 242	4
27	AFR 243	5
28	AFR 245	6
29	AFR 249	5
30	AFR 251	1
31	AFR 255	3
32	AFR 256	4
33	AFR 261	2
34	AFR 264	3
35	AFR 265	3
36	AFR 271	4
37	AFR 280	1
38	AFR 292	3
39	AFR 295	4
40	AFR 297	2
41	AFR 299	5
42	AFR 300	1
43	AFR 301	1
44	AFR 302	2
45	AFR 303	4
46	AFR 304	4
47	AFR 306	7
48	AFR 310	6
49	AFR 312	4
50	AFR 316	7
51	AFR 318	1
52	AFR 319	4
53	AFR 330	3
54	AFR 340	3
55	AFR 341	6
56	AFR 345	1
57	AFR 350	3
58	AFR 350H	3
59	AFR 360	3
60	AFR 370	3
61	AFR 380	4
62	AFR 390	5
63	AMST 101	1
64	AMST 121	2
65	AMST 151	1
66	AMST 152	2
67	AMST 161	2
68	AMST 212	3
69	AMST 215	1
70	AMST 217	4
71	AMST 218	2
72	AMST 220	5
73	AMST 222	3
74	AMST 225	7
75	AMST 228	2
76	AMST 231	2
77	AMST 232	2
78	AMST 234	2
79	AMST 235	3
80	AMST 240	2
81	AMST 241	6
82	AMST 242	2
83	AMST 246	7
84	AMST 248	2
85	AMST 251	7
86	AMST 258	3
87	AMST 261	2
88	AMST 262	2
89	AMST 264	3
90	AMST 266	2
91	AMST 268	2
92	AMST 274	7
93	AMST 281	4
94	AMST 290	4
95	AMST 292	2
96	AMST 296	4
97	AMST 299	2
98	AMST 310	2
99	AMST 314	2
100	AMST 315	4
101	AMST 318	2
102	AMST 319	2
103	AMST 323	3
104	AMST 325	2
105	AMST 327	4
106	AMST 348	5
107	AMST 355	2
108	AMST 383	3
109	AMST 386	2
110	ANTH 101	1
111	ANTH 102	1
112	ANTH 103	2
113	ANTH 110	1
114	ANTH 205	3
115	ANTH 207	3
116	ANTH 209	3
117	ANTH 210	5
118	ANTH 214	4
119	ANTH 215	4
120	ANTH 217	4
121	ANTH 219	6
122	ANTH 220	3
123	ANTH 222	3
124	ANTH 227	3
125	ANTH 231	5
126	ANTH 232	5
127	ANTH 233	3
128	ANTH 234	2
129	ANTH 235	5
130	ANTH 236	3
131	ANTH 237	5
132	ANTH 238	4
133	ANTH 239	2
134	ANTH 243	3
135	ANTH 245	5
136	ANTH 246	2
137	ANTH 249	5
138	ANTH 250	3
139	ANTH 250GH	3
140	ANTH 250H	3
141	ANTH 251	3
142	ANTH 252	3
143	ANTH 262	3
144	ANTH 265	3
145	ANTH 274	3
146	ANTH 277	3
147	ANTH 278	3
148	ANTH 281	3
149	ANTH 299	3
150	ANTH 301	3
151	ANTH 302	3
152	ANTH 305	3
153	ANTH 310H	1
154	ANTH 314	3
155	ANTH 319	3
156	ANTH 321	3
157	ANTH 333	3
158	ANTH 341	4
159	ANTH 345	4
160	ANTH 346	5
161	ANTH 350	3
162	ANTH 350H	3
163	ANTH 360	3
164	ANTH 370	3
165	ARAB 201	1
166	ARAB 202	1
167	ARAB 250	1
168	ARAB 250H	1
169	ARAB 301	1
170	ARAB 302	1
171	ARAB 305	1
172	ARAB 307	1
173	ARAB 310	1
174	ARAB 350	1
175	ARAB 350H	1
176	ARAB 368	1
177	ARTH 100	4
178	ARTH 109	1
179	ARTH 110Y	2
180	ARTH 112	1
181	ARTH 113	1
182	ARTH 165	1
183	ARTH 200	2
184	ARTH 201	2
185	ARTH 203	4
186	ARTH 206	1
187	ARTH 207	1
188	ARTH 209	1
189	ARTH 212	1
190	ARTH 216	1
191	ARTH 217	1
192	ARTH 222	3
193	ARTH 224	1
194	ARTH 225	2
195	ARTH 226	3
196	ARTH 227	2
197	ARTH 228	3
198	ARTH 229	2
199	ARTH 230	3
200	ARTH 231	2
201	ARTH 234	2
202	ARTH 235	1
203	ARTH 236	2
204	ARTH 237	2
205	ARTH 238	3
206	ARTH 239	2
207	ARTH 240	3
208	ARTH 241	4
209	ARTH 242	1
210	ARTH 243	2
211	ARTH 244	2
212	ARTH 245	4
213	ARTH 246	2
214	ARTH 247	3
215	ARTH 248	2
216	ARTH 249	3
217	ARTH 251	2
218	ARTH 255	2
219	ARTH 256	1
220	ARTH 257	1
221	ARTH 259	2
222	ARTH 262	2
223	ARTH 264	3
224	ARTH 266	2
225	ARTH 267	2
226	ARTH 289	2
227	ARTH 290	2
228	ARTH 292	3
229	ARTH 299	2
230	ARTH 301	1
231	ARTH 303	1
232	ARTH 304	1
233	ARTH 307	1
234	ARTH 309	3
235	ARTH 310	1
236	ARTH 312	1
237	ARTH 313	1
238	ARTH 315	1
239	ARTH 316	5
240	ARTH 317	2
241	ARTH 318	3
242	ARTH 320	1
243	ARTH 321	1
244	ARTH 322	1
245	ARTH 323	1
246	ARTH 325	3
247	ARTH 326	2
248	ARTH 328	2
249	ARTH 330	1
250	ARTH 331	1
251	ARTH 334	2
252	ARTH 335	1
253	ARTH 336	1
254	ARTH 337	2
255	ARTH 339	3
256	ARTH 341	2
257	ARTH 343	2
258	ARTH 345	1
259	ARTH 346	2
260	ARTH 347	2
261	ARTH 373	3
262	ARTH 376	1
263	ARTH 377	1
264	ARTH 390	1
265	ARTH 391	1
266	ARTS 105	4
267	ARTS 106	1
268	ARTS 108	5
269	ARTS 109	3
270	ARTS 110	2
271	ARTS 111	1
272	ARTS 112	1
273	ARTS 113	3
274	ARTS 115	1
275	ARTS 165	4
276	ARTS 207	3
277	ARTS 208	4
278	ARTS 216	3
279	ARTS 217	2
280	ARTS 218	1
281	ARTS 219	3
282	ARTS 220	3
283	ARTS 221	5
284	ARTS 222	2
285	ARTS 223	1
286	ARTS 225	1
287	ARTS 250	1
288	ARTS 250H	1
289	ARTS 255	5
290	ARTS 260	4
291	ARTS 265	4
292	ARTS 307	3
293	ARTS 308	4
294	ARTS 313	4
295	ARTS 314	2
296	ARTS 315	1
297	ARTS 317	1
298	ARTS 317H	2
299	ARTS 318	1
300	ARTS 318H	2
301	ARTS 321	3
302	ARTS 322	3
303	ARTS 323	1
304	ARTS 336	3
305	ARTS 350	1
306	ARTS 350H	1
307	ARTS 360	1
308	ARTS 365	4
309	ARTS 366	4
310	ARTS 370	1
311	ARTS 391	1
312	ASTR 107	2
313	ASTR 200	1
314	ASTR 202	1
315	ASTR 206	2
316	ASTR 210	1
317	ASTR 223	3
318	ASTR 250	1
319	ASTR 250GH	1
320	ASTR 250H	1
321	ASTR 303	2
322	ASTR 304	1
323	ASTR 311	2
324	ASTR 350	1
325	ASTR 360	1
326	ASTR 370	1
327	BIOC 219	1
328	BIOC 220	1
329	BIOC 223	1
330	BIOC 320	1
331	BIOC 323	1
332	BIOC 325	1
333	BIOC 331	1
334	BISC 108	1
335	BISC 110	3
336	BISC 110P	3
337	BISC 111	2
338	BISC 111T	1
339	BISC 112	3
340	BISC 112Y	3
341	BISC 113	2
342	BISC 113Y	1
343	BISC 116	4
344	BISC 198	2
345	BISC 201	2
346	BISC 202	2
347	BISC 203	1
348	BISC 204	2
349	BISC 207	1
350	BISC 209	2
351	BISC 210	2
352	BISC 214	1
353	BISC 216	1
354	BISC 219	2
355	BISC 220	2
356	BISC 247	1
357	BISC 274	2
358	BISC 302	2
359	BISC 303	1
360	BISC 305	1
361	BISC 306	2
362	BISC 307	1
363	BISC 308	1
364	BISC 310	2
365	BISC 311	2
366	BISC 312	1
367	BISC 314	3
368	BISC 315	2
369	BISC 316	2
370	BISC 317	1
371	BISC 318	2
372	BISC 327	1
373	BISC 328	2
374	BISC 329	2
375	BISC 333	2
376	BISC 334	2
377	BISC 335	2
378	BISC 336	2
379	BISC 338	1
380	BISC 340	1
381	BISC 347	1
382	BOC 324	1
383	CAMS 101	5
384	CAMS 107Y	1
385	CAMS 115	1
386	CAMS 135	6
387	CAMS 138	6
388	CAMS 201	3
389	CAMS 202	3
390	CAMS 203	6
391	CAMS 204	1
392	CAMS 207	4
393	CAMS 208	5
394	CAMS 210	1
395	CAMS 212	2
396	CAMS 216	2
397	CAMS 217	2
398	CAMS 218	3
399	CAMS 219	3
400	CAMS 220	1
401	CAMS 221	3
402	CAMS 222	5
403	CAMS 224	1
404	CAMS 225	3
405	CAMS 227	4
406	CAMS 228	2
407	CAMS 230	4
408	CAMS 232	5
409	CAMS 233	3
410	CAMS 234	4
411	CAMS 235	4
412	CAMS 238	4
413	CAMS 239	5
414	CAMS 240	3
415	CAMS 241	2
416	CAMS 243	2
417	CAMS 250	1
418	CAMS 250H	1
419	CAMS 255	5
420	CAMS 261	3
421	CAMS 270	2
422	CAMS 271	4
423	CAMS 272	3
424	CAMS 276	1
425	CAMS 277	3
426	CAMS 286	4
427	CAMS 292	1
428	CAMS 300	2
429	CAMS 301	3
430	CAMS 302	1
431	CAMS 304	1
432	CAMS 305	3
433	CAMS 308	1
434	CAMS 310	3
435	CAMS 312	2
436	CAMS 313	4
437	CAMS 318	1
438	CAMS 320	2
439	CAMS 321	3
440	CAMS 324	3
441	CAMS 327	3
442	CAMS 335	4
443	CAMS 338	4
444	CAMS 350	1
445	CAMS 350H	1
446	CAMS 360	1
447	CAMS 366	4
448	CAMS 370	1
449	CHEM 103	1
450	CHEM 105	5
451	CHEM 105P	2
452	CHEM 116	3
453	CHEM 120	4
454	CHEM 205	3
455	CHEM 211	4
456	CHEM 212	1
457	CHEM 223	2
458	CHEM 227	1
459	CHEM 302	3
460	CHEM 303	2
461	CHEM 304	2
462	CHEM 305	2
463	CHEM 307	2
464	CHEM 309	2
465	CHEM 310	2
466	CHEM 318	2
467	CHEM 320	2
468	CHEM 323	2
469	CHEM 324	2
470	CHEM 325	3
471	CHEM 330	3
472	CHEM 330X	2
473	CHEM 331	2
474	CHEM 334	2
475	CHEM 335	3
476	CHEM 341	3
477	CHEM 355	2
478	CHEM 361	2
479	CHEM 365	2
480	CHIN 200	1
481	CHIN 201	1
482	CHIN 202	2
483	CHIN 203	2
484	CHIN 204	2
485	CHIN 208	2
486	CHIN 211	3
487	CHIN 213	1
488	CHIN 220	2
489	CHIN 226	2
490	CHIN 233	2
491	CHIN 239	2
492	CHIN 243	3
493	CHIN 244	3
494	CHIN 245	2
495	CHIN 301	1
496	CHIN 302	1
497	CHIN 306	1
498	CHIN 311	2
499	CHIN 320	2
500	CHIN 326	2
501	CHIN 333	2
502	CHIN 338	2
503	CHIN 344	2
504	CHIN 345	2
505	CHIN 381	2
506	CHIN 382	2
507	CLCV 103	1
508	CLCV 104	1
509	CLCV 106	1
510	CLCV 205	1
511	CLCV 206	1
512	CLCV 210	3
513	CLCV 212	1
514	CLCV 213	1
515	CLCV 215	2
516	CLCV 230	1
517	CLCV 236	1
518	CLCV 240	3
519	CLCV 241	1
520	CLCV 243	1
521	CLCV 250	1
522	CLCV 250H	1
523	CLCV 280H	1
524	CLCV 305	1
525	CLCV 310	2
526	CLCV 313	1
527	CLCV 330	1
528	CLCV 336	1
529	CLCV 350	1
530	CLCV 350H	1
531	CLCV 373	3
532	CLPT 180	1
533	CLPT 247	1
534	CLPT 284	1
535	CLPT 294	1
536	CLPT 375	1
537	CLSC 214	1
538	CLSC 216	4
539	CLSC 316	2
540	CPLT 236	1
541	CPLT 238	1
542	CPLT 284	1
543	CPLT 294	1
544	CS 111	6
545	CS 112	1
546	CS 121	1
547	CS 203	2
548	CS 204	2
549	CS 220	3
550	CS 221	2
551	CS 230	4
552	CS 231	3
553	CS 232	6
554	CS 234	3
555	CS 235	3
556	CS 240	1
557	CS 242	2
558	CS 251	2
559	CS 301	1
560	CS 304	3
561	CS 305	5
562	CS 307	2
563	CS 313	2
564	CS 315	3
565	CS 317	1
566	CS 320	2
567	CS 321	2
568	CS 323	3
569	CS 331	1
570	CS 332	3
571	CS 333	1
572	CS 341	1
573	CS 342	2
574	CS 343	2
575	CS 349H	1
576	EALC 221	3
577	EALC 225	3
578	EALC 236	3
579	EALC 325	3
580	EALC 345	3
581	ECON 101	4
582	ECON 102	4
583	ECON 103	3
584	ECON 201	4
585	ECON 202	4
586	ECON 203	5
587	ECON 213	4
588	ECON 214	4
589	ECON 220	4
590	ECON 222	4
591	ECON 226	5
592	ECON 228	4
593	ECON 229	4
594	ECON 232	4
595	ECON 233	3
596	ECON 241	5
597	ECON 243	1
598	ECON 250	2
599	ECON 250H	2
600	ECON 251H	2
601	ECON 301	3
602	ECON 302	3
603	ECON 303	3
604	ECON 306	4
605	ECON 311	6
606	ECON 312	4
607	ECON 313	4
608	ECON 314	4
609	ECON 318	4
610	ECON 320	4
611	ECON 322	3
612	ECON 323	3
613	ECON 324	3
614	ECON 326	5
615	ECON 327	4
616	ECON 328	5
617	ECON 332	4
618	ECON 334	4
619	ECON 335	3
620	ECON 341	4
621	EDUC 102	1
622	EDUC 103Y	1
623	EDUC 117Y	1
624	EDUC 200	1
625	EDUC 201	1
626	EDUC 207	4
627	EDUC 212	1
628	EDUC 213	1
629	EDUC 214	2
630	EDUC 215	2
631	EDUC 216	2
632	EDUC 217	4
633	EDUC 226	5
634	EDUC 227	4
635	EDUC 300	1
636	EDUC 303	1
