AFR	105	Intro to Black Experience 	1	46	None	Carter-Jackson			
AFR	115	Intro to Afr Amer Philosophy 	1	30	 None				
PHIL	115	Intro to Afr Amer Philosophy	1	30	 None				
AFR	201	African-Amer Lit Tradition 	1	30		Cudjoe			
ENG	260	African-Amer Lit Tradition	1	30		Cudjoe			
AFR	206	African Amer Hist 1500-present 	1	25	None	Jackson			
AFR	209	Af Am History: Slavery to Civil War 	1	25	 None	 Carter-Jackson			
AFR	210	Af Am History: Reconstruction to Present 	1	25	 None.	 Carter-Jackson			
AFR	211	Intro African Literature 	1	30	None	Cudjoe			
AFR	212	Black Women Writers 	1	25	None	Cudjoe			
ENG	279	Black Women Writers	1	25	None	Cudjoe			
AFR	215	Unpacking Blackness 	1	25	 None.	 Dendere			
AFR	225	Intro Black Psychology 	1	30		 Staff			
PSYC	225	Intro Black Psychology	1	30		 Staff			
AFR	227	Black Girlhood 	1	20	 None	 Lindsay-Dennis			
EDUC	227	Black Girlhood	1	20	 None	 Lindsay-Dennis			
AFR	228	Black Feminist Philosophy 	1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.				
PHIL	228	Black Feminist Philosophy	1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.				
AFR	236	Intro to African Politics 	1	25	None	 Dendere			
POL2	231	Intro to African Politics	1	25	None	 Dendere			
AFR	239	Sem: African Civilizations 	1	20	None.	Fitzpatrick			
AFR	242	New World Afro-Atlantic Religions 	1	30	None	Fitzpatrick			
REL	214	New World Afro-Atlantic Religions	1	30	None	Fitzpatrick			
AFR	243	The Black Church 	1	25	None	Fitzpatrick			
PEAC	243	The Black Church	1	25	None	Fitzpatrick			
AFR	245	The Impact of Globalization 	1	25	None	 Dendere			
POL3	245	The Impact of Globalization	1	25	None	 Dendere			
AFR	249	Black Women's History 	1	30	None	 Carter-Jackson			
AFR	250	Research or Individual Study 	1	15	 Permission of the instructor.				
AFR	256	The Portuguese-Speaking World 	1	14	None	Igrejas			
PORT	256	The Portuguese-Speaking World	1	14	None	Igrejas			
AFR	264	African Art 	1	25	None	Greene			
ARTH	264	African Art	1	25	None	Greene			
AFR	265	African American Autobiographies 	1	30	None	Cudjoe			
ENG	265	African American Autobiographies	1	30	None	Cudjoe			
AFR	271	History of Slavery Thru Film 	1	25	None	Jackson			
CAMS	271	History of Slavery Thru Film	1	25	None	Jackson			
AFR	292	African Art & the Diaspora 	1	25	None. ARTH 100 recommended.	Greene			
ARTH	292	African Art & the Diaspora	1	25	None. ARTH 100 recommended.	Greene			
AFR	295	The Harlem Renaissance 	1	30	 None.	 Cudjoe			
ENG	295	The Harlem Renaissance	1	30	 None.	 Cudjoe			
AFR	299	Sem: Caribbean Culture 	1	20	 None.	 Fitzpatrick			
AFR	302	Caribbean Intellectual Thought 	1	25	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Cudjoe			
AFR	303	Seminar: Slavery and Film 	1	15	 AFR 105 or AFR 206. Not open to students who have taken AFR 271.	 Carter-Jackson			
