ANTH	101	Intro Cultural/Social Anth 	1	25	 None. Not open to students who have taken this course as ANTH 104.	 Armstrong, Walters			
ANTH	102	Biological Anthropology 	1	25	None	Van Arsdale			
ANTH	103	Introduction to Archaeology 	1	30	 None	 Minor			
CLCV	103	Introduction to Archaeology	1	30	 None	 Minor			
ANTH	110	The Anthropology of Food 	1	12		 Van Arsdale			
ANTH	205	Anthropology Methods 	1	20	Any introductory Anthropology course (ANTH 101, ANTH 102, or ANTH 103), or permission of the instructor	 Van Arsdale, Ellison			
ANTH	207	Human Evolution 	1	30	None	Van Arsdale			
ANTH	209	Forensic Anthropology 	1	42	None	Van Arsdale			
ANTH	210	Political Anthropology 	1	25	None.	Ellison			
ANTH	214	Race and Human Variation 	1	25	None	Van Arsdale			
ANTH	215	Bronze Age Greece in Med. Context 	1	25	None	Burns			
CLCV	215	Bronze Age Greece in Med. Context	1	25	None	Burns			
ANTH	217	People, Culture & Politics of the Balkans 	1	30	None	Karakasidou			
ANTH	219	Balkan Cinema 	1	20	None	Karakasidou			
ANTH	220	Epidemics and Pandemics 	1	30	 None	 Karakasidou			
PEAC	220	Epidemics and Pandemics	1	30	 None	 Karakasidou			
ANTH	222	Anthropology of Science 	1	30	None	Karakasidou			
ANTH	227	Archaeology Material Culture 	1	25	None	Minor			
ANTH	231	Anthropology In and Of the City 	1	25	None	Ellison			
PEAC	231	Anthropology In and Of the City	1	25	None	Ellison			
ANTH	232	Anthropology of Media 	1	15	None	Karakasidou			
CAMS	232	Anthropology of Media	1	15	None	Karakasidou			
ANTH	233	The Anthropology of Religion 	1	25	 None.	 Walters			
REL	233	The Anthropology of Religion	1	25	 None.	 Walters			
ANTH	235	Ethnomusicology Field Methods 	1	12	None	Goldschmitt			
MUS	245	Ethnomusicology Field Methods	1	12	None	Goldschmitt			
ANTH	236	Divine Madness 	1	25	 None	 Walters			
REL	236	Divine Madness	1	25	 None	 Walters			
ANTH	237	Ethnography in/of South Asia 	1	20	None	 Walters			
SAS	237	Ethnography in/of South Asia	1	20	None	 Walters			
ANTH	238	The Vulnerable Body 	1	30	None	Karakasidou			
ANTH	243	Biological Anthropology 	1	20	None	Van Arsdale			
ANTH	245	Anthropology of Latin America 	1	20		Ellison			
LAST	245	Anthropology of Latin America	1	20		Ellison			
ANTH	246	Digital Anthropology 	1	25	None	Minor			
MAS	246	Digital Anthropology	1	25	None	Minor			
ANTH	249	Andean Archaeology 	1	30	 None.	 TBA			
ANTH	250	Research or Individual Study 	1	15	ANTH 104 and permission of the instructor.			Spring; Fall	Spring; Fall
ANTH	250GH	Research or Group Study 	0.5	10	 Permission of the instructor.				
ANTH	250H	Research or Individual Study 	0.5	25	ANTH 104 and permission of the instructor.			Spring; Fall	Fall; Spring
ANTH	251	Cultures of Cancer 	1	25	 None	Karakasidou			
ANTH	252	WCHAP Archaeology Field School 	1	30	 None	 Minor			
ANTH	262	Archaeology of Sacrifice 	1	25	None	Minor			
ANTH	265	The Politics of Nature 	1	20	None	Ellison			
ES	265	The Politics of Nature	1	20	None	Ellison			
ANTH	274	Anthropological Genetics 	1	15		 Van Arsdale			
BISC	274	Anthropological Genetics	1	15		 Van Arsdale			
ANTH	277	True Stories 	1	15	 Fulfillment of the First-Year Writing requirement. Not open to First-Year students.	 Armstrong			
WRIT	277	True Stories	1	15	 Fulfillment of the First-Year Writing requirement. Not open to First-Year students.	 Armstrong			
ANTH	278	Making, Using and Living 	1	20	None	Armstrong			
ANTH	281	Anthropology of Death 	1	30	 None.	 TBA			
ANTH	299	Home and Away 	1	8	None	Armstrong			
ANTH	301	Anthropological Theory 	1	15	 Two 200-level units in anthropology, economics, history, political science, or sociology, or permission of the instructor.	 Walters			
ANTH	302	Museum Anthropology 	1	15	 One 100 level Anthropology course.	 Minor			
ANTH	305	Ethnographic Film 	1	15	ANTH 301 or two 200-level units in anthropology, cinema and media studies, economics, history, political science, or sociology or permission of the instructor.	TBD			
CAMS	305	Ethnographic Film	1	15	ANTH 301 or two 200-level units in anthropology, cinema and media studies, economics, history, political science, or sociology or permission of the instructor.	TBD			
ANTH	310H	WS: Southern Balkans 	0.5	15	 ANTH 217 or ANTH 219, or some familiarity with the area.	 Karakasidou			
ANTH	314	Human Biology and Society 	1	15	 ANTH 102 or ANTH 214, or permission of the instructor.	 Van Arsdale			
ANTH	319	Nationlism, Politics & Remote Past 	1	15	One 200-level unit in anthropology, economics, political science, sociology, or permission of the instructor.	Karakasidou			
ANTH	321	Anthropology of the Senses 	1	15	 ANTH 101 and two 200-level courses in anthropology or permission of the instructor.	 TBD			
ANTH	333	Sem: Anthropologies of Exchange 	1	15	 ANTH 101, or permission of the instructor.	 Armstrong			
ANTH	341	Indigenous Resurgence 	1	15	 Two 200-level units in anthropology, economics, history, political science, or sociology, or permission of the instructor.	Ellison			
ANTH	345	Ethnomusicology Field Methods 	1	12	MUS 100	Goldschmitt			
MUS	345	Ethnomusicology Field Methods	1	12	MUS 100	Goldschmitt			
ANTH	346	Sem: Political Lives of NGOs 	1	15	 One 200-level unit in anthropology, economics, history, political science, or sociology, or permission of the instructor.	Ellison			
ANTH	350	Research or Individual Study 	1	25	Permission of the instructor. Open to juniors and seniors.			Spring; Fall	Spring; Fall
ANTH	350H	Research or Individual Study 	0.5	10	Permission of the instructor. Open to juniors and seniors.			Spring; Fall	Fall; Spring
ANTH	360	Senior Thesis Research 	1	15	Permission of the department.				
ANTH	370	Senior Thesis 	1	25	ANTH 360 and permission of the department.				
ANTH	101	Intro Cultural/Social Anth 							
ANTH	102	Biological Anthropology 							
ANTH	103	Introduction to Archaeology 							
CLCV	103	Introduction to Archaeology							
ANTH	110	The Anthropology of Food 							
ANTH	205	Anthropology Methods 							
ANTH	207	Human Evolution 							
ANTH	209	Forensic Anthropology 							
ANTH	210	Political Anthropology 							
ANTH	214	Race and Human Variation 							
ANTH	215	Bronze Age Greece in Med. Context 							
CLCV	215	Bronze Age Greece in Med. Context							
ANTH	217	People, Culture & Politics of the Balkans 							
ANTH	219	Balkan Cinema 							
ANTH	220	Epidemics and Pandemics 							
PEAC	220	Epidemics and Pandemics							
ANTH	222	Anthropology of Science 							
ANTH	227	Archaeology Material Culture 							
ANTH	231	Anthropology In and Of the City 							
PEAC	231	Anthropology In and Of the City							
ANTH	232	Anthropology of Media 							
CAMS	232	Anthropology of Media							
ANTH	233	The Anthropology of Religion 							
REL	233	The Anthropology of Religion							
ANTH	235	Ethnomusicology Field Methods 							
MUS	245	Ethnomusicology Field Methods							
ANTH	236	Divine Madness 							
REL	236	Divine Madness							
ANTH	237	Ethnography in/of South Asia 							
SAS	237	Ethnography in/of South Asia							
ANTH	238	The Vulnerable Body 							
ANTH	243	Biological Anthropology 							
ANTH	245	Anthropology of Latin America 							
LAST	245	Anthropology of Latin America							
ANTH	246	Digital Anthropology 							
MAS	246	Digital Anthropology							
ANTH	249	Andean Archaeology 							
ANTH	250	Research or Individual Study 							
ANTH	250GH	Research or Group Study 							
ANTH	250H	Research or Individual Study 							
ANTH	251	Cultures of Cancer 							
ANTH	252	WCHAP Archaeology Field School 							
