	abrev	num	freq	majors
0	AFR	105	5	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration', 'Education Studies']
1	AFR	201	3	['Africana Studies - United States Concentration', 'International Relations - History', 'International Relations - Political Science']
2	AFR	202	1	['Africana Studies - Africa Concentration']
3	AFR	204	4	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration']
4	AFR	206	7	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration', 'Education Studies', 'International Relations - History', 'International Relations - Political Science']
5	AFR	207	4	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Cinema and Media Studies - entering in Fall 2020 and before', 'Cinema and Media Studies - entering in Spring 2021 and after']
6	AFR	208	1	['Africana Studies - United States Concentration']
7	AFR	209	4	['American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
8	AFR	210	4	['American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
9	AFR	211	3	['Africana Studies - Africa Concentration', 'International Relations - History', 'International Relations - Political Science']
10	AFR	212	5	"['Africana Studies - United States Concentration', 'American Studies', 'International Relations - History', 'International Relations - Political Science', ""Women's and Gender Studies""]"
11	AFR	213	3	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration']
12	AFR	215	5	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration', 'International Relations - History', 'International Relations - Political Science']
13	AFR	216	1	['Africana Studies - The Caribbean and Latin America Concentration']
14	AFR	217	1	['Africana Studies - United States Concentration']
15	AFR	222	5	['Africana Studies - Africa Concentration', 'Africana Studies - United States Concentration', 'American Studies', 'Cinema and Media Studies - entering in Fall 2020 and before', 'Cinema and Media Studies - entering in Spring 2021 and after']
16	AFR	225	3	['Africana Studies - United States Concentration', 'International Relations - History', 'International Relations - Political Science']
17	AFR	226	2	['Environmental Studies', 'Latin American Studies']
18	AFR	227	4	"['Education Studies', 'International Relations - History', 'International Relations - Political Science', ""Women's and Gender Studies""]"
19	AFR	228	3	"['International Relations - History', 'International Relations - Political Science', ""Women's and Gender Studies""]"
20	AFR	234	1	['Africana Studies - The Caribbean and Latin America Concentration']
21	AFR	235	1	['Africana Studies - Africa Concentration']
22	AFR	236	4	['Africana Studies - Africa Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
23	AFR	237	1	['Africana Studies - United States Concentration']
24	AFR	238	1	['Africana Studies - Africa Concentration']
25	AFR	239	5	['Africana Studies - Africa Concentration', 'Africana Studies - United States Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
26	AFR	242	4	['American Studies', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
27	AFR	243	5	['Africana Studies - United States Concentration', 'American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
28	AFR	245	6	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
29	AFR	249	5	"['American Studies', 'Education Studies', 'International Relations - History', 'International Relations - Political Science', ""Women's and Gender Studies""]"
30	AFR	250	4	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration']
31	AFR	251	1	['Africana Studies - Africa Concentration']
32	AFR	255	3	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration']
33	AFR	256	4	['International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
34	AFR	261	2	['Cinema and Media Studies - entering in Fall 2020 and before', 'Cinema and Media Studies - entering in Spring 2021 and after']
35	AFR	264	3	['Art History', 'International Relations - History', 'International Relations - Political Science']
36	AFR	265	3	['American Studies', 'International Relations - History', 'International Relations - Political Science']
37	AFR	271	4	['American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
38	AFR	280	1	['Africana Studies - Africa Concentration']
39	AFR	292	3	['Art History', 'International Relations - History', 'International Relations - Political Science']
40	AFR	295	4	['Comparative Literary Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
41	AFR	297	2	['Africana Studies - Africa Concentration', 'Latin American Studies']
42	AFR	299	5	['Africana Studies - The Caribbean and Latin America Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
43	AFR	300	1	['Africana Studies - The Caribbean and Latin America Concentration']
44	AFR	301	1	['Africana Studies - Africa Concentration']
45	AFR	302	2	['Africana Studies - General Africana Studies Concentration', 'Latin American Studies']
46	AFR	303	4	['Africana Studies - General Africana Studies Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
47	AFR	304	3	['International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
48	AFR	306	7	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
49	AFR	310	5	['Africana Studies - The Caribbean and Latin America Concentration', 'American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
50	AFR	312	4	['Africana Studies - General Africana Studies Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
51	AFR	316	6	"['Africana Studies - Africa Concentration', 'American Studies', 'Art History', 'International Relations - History', 'International Relations - Political Science', ""Women's and Gender Studies""]"
52	AFR	318	1	['Africana Studies - Africa Concentration']
53	AFR	319	3	['American Studies', 'International Relations - History', 'International Relations - Political Science']
54	AFR	330	3	['Africana Studies - General Africana Studies Concentration', 'International Relations - History', 'International Relations - Political Science']
55	AFR	340	3	['Africana Studies - Africa Concentration', 'Africana Studies - The Caribbean and Latin America Concentration', 'Africana Studies - United States Concentration']
56	AFR	341	6	['Africana Studies - Africa Concentration', 'Africana Studies - General Africana Studies Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
57	AFR	345	1	['Africana Studies - General Africana Studies Concentration']
58	AFR	350	3	['Africana Studies - General Africana Studies Concentration', 'International Relations - History', 'International Relations - Political Science']
59	AFR	350H	3	['Africana Studies - General Africana Studies Concentration', 'International Relations - History', 'International Relations - Political Science']
60	AFR	360	3	['Africana Studies - General Africana Studies Concentration', 'International Relations - History', 'International Relations - Political Science']
61	AFR	370	3	['Africana Studies - General Africana Studies Concentration', 'International Relations - History', 'International Relations - Political Science']
62	AFR	380	4	['Africana Studies - General Africana Studies Concentration', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
63	AFR	390	5	['Africana Studies - General Africana Studies Concentration', 'American Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
64	AMST	101	1	['American Studies']
65	AMST	121	2	['American Studies', 'Education Studies']
66	AMST	151	1	['Education Studies']
67	AMST	152	2	['Africana Studies - United States Concentration', 'Education Studies']
68	AMST	161	2	['Education Studies', 'Latin American Studies']
69	AMST	212	3	['American Studies', 'East Asian Studies', 'Religion']
70	AMST	215	1	['Africana Studies - United States Concentration']
71	AMST	217	4	['American Studies', 'Latin American Studies', 'Music', 'Religion']
72	AMST	220	3	['International Relations - Economics', 'International Relations - History', 'International Relations - Political Science']
73	AMST	222	1	['Education Studies']
74	AMST	225	5	['Education Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
75	AMST	232	2	['American Studies', 'Religion']
76	AMST	235	3	['American Studies', 'Latin American Studies', 'Religion']
77	AMST	241	4	['International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Jewish Studies']
78	AMST	242	2	['American Studies', 'Religion']
79	AMST	246	5	['Education Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Latin American Studies']
80	AMST	251	5	['Education Studies', 'International Relations - Economics', 'International Relations - History', 'International Relations - Political Science', 'Jewish Studies']
81	AMST	258	1	['Jewish Studies']
82	AMST	264	3	['American Studies', 'Education Studies', 'Religion']
