CHEM	103	Elements and the Environment 	1	24	 Fulfillment of the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement.	 Stanley	NPS - Natural and Physical Sciences	Fall	Spring
CHEM	104Y	FYS: Modelng Across Disciplines 	1	16	 None. Open to First-Years only.	 M. Radhakrishnan	EC - Epistemology and Cognition; MM - Mathematical Modeling and Problem Solving	Fall	Not Offered
CHEM	105	Fundamentals Chemistry w/Lab 	1.25	28	 One year of high school chemistry. Fulfillment of the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement. Not open to students who have taken CHEM 105P, CHEM 116, or CHEM 120.	 Carrico-Moniz, Flynn, Miwa, Tantama, Verschoor, Mavros, Oakes	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring; Fall	Spring; Fall
CHEM	105P	Fundamentals of Chem w/Lab 	1.25	16	 Open by permission of the instructor to students regardless of high school background or whether the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement has been fulfilled. Not open to students who have taken CHEM 105, CHEM 116, or CHEM 120.	 Miwa, McCarthy	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Fall	Fall
CHEM	116	Intro Integ Chem Bio w/Lab 	1.25	32	 One year of high school chemistry, math equivalent to two years of high school algebra, and fulfillment of the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement. Not open to students who have taken BISC 110/BISC 110P, BISC 112/BISC 112Y, CHEM 105, CHEM 105P, or CHEM 120. Students must attend lab during the first week to continue in the course.	 M. Radhakrishnan, M. Hall (Chemistry), Matthews (Biological Sciences)	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Fall	Fall
CHEM	120	Intensive Intro Chem w/Lab 	1.25	32	 Open to students who have a score of 4 or 5 on the Chemistry AP exam or an IB Chemistry higher level score of 5 or above. Fulfillment of the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement. Not open to students who have completed CHEM 105, CHEM 105P, CHEM 116 and/or CHEM 205.	 Arumainayagam, McCarthy	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Fall	Fall
CHEM	205	Chemical Analy & Equilib w/Lab 	1.25	36	 CHEM 105 or CHEM 105P or CHEM 116 and fulfillment of the Quantitative Reasoning (QR) component of the Quantitative Reasoning &amp; Data Literacy requirement (formerly QR-Basic Skills). Not open to students who have taken CHEM 120.	 Flynn, Verschoor, M. Hall, McCarthy, Wax	NPS - Natural and Physical Sciences; MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory	Spring; Fall	Spring; Fall
CHEM	211	Organic Chemistry I w/Lab 	1.25	28	 CHEM 105, CHEM 105P, CHEM 116, or CHEM 120.	 Carrico-Moniz, Woodford, Doe, Huang, Vellucci, McCarthy	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring; Fall	Spring; Fall
CHEM	212	Organic Chemistry II w/Lab 	1.25	42	 CHEM 211	 Miwa, Vellucci, Woodford, Doe, Huang	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring; Fall	Fall; Spring
BIOC	223	Fundamentals of Biochem w/lab 	1.25	9	 (CHEM 205 or CHEM 120) and CHEM 211 and one of the following (BISC 110, BISC 110P, BISC 112, BISC 112Y, BISC 116, CHEM 212).	 Elmore, Hall, Oakes, Tantama	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring; Fall	Fall; Spring
